# time  ID  size  fromHost  toHost  TTL  isResponse
2117.0000 M71 140133 p1_10 ADB2 300 N 
2118.2987 N99 1000000 ADB2 p1_9 300 N 
2129.6073 N100 1000000 ADB2 p1_6 300 N 
2142.0000 M72 116893 p2_22 ADB2 300 N 
2152.8553 N101 1000000 ADB2 p1_5 300 N 
2153.5197 N102 1000000 ADB2 p1_5 300 N 
2156.0578 N103 1000000 ADB2 p1_6 300 N 
2159.2240 N104 1000000 ADB2 p2_18 300 N 
2173.0000 M73 117791 p2_20 ADB2 300 N 
2199.0000 M74 75916 p1_11 ADB2 300 N 
2207.7013 N105 1000000 ADB2 p1_8 300 N 
2214.5149 N106 1000000 ADB2 p1_7 300 N 
2221.1245 N107 1000000 ADB2 p2_15 300 N 
2229.0000 M75 66248 p1_14 ADB2 300 N 
2229.2453 N108 1000000 ADB2 p1_6 300 N 
2262.0000 M76 115606 p1_6 ADB2 300 N 
2274.3315 N109 1000000 ADB2 p1_6 300 N 
2294.0000 M77 130783 p2_21 ADB2 300 N 
2299.0093 N110 1000000 ADB2 p2_20 300 N 
2319.0000 M78 107377 p2_20 ADB2 300 N 
2321.4990 N111 1000000 ADB2 p2_17 300 N 
2337.2296 N112 1000000 ADB2 p1_5 300 N 
2346.4043 N113 1000000 ADB2 p2_19 300 N 
2348.5688 N114 1000000 ADB2 p1_7 300 N 
2353.0000 M79 129028 p1_8 ADB2 300 N 
2366.6422 N115 1000000 ADB2 p1_12 300 N 
2375.3047 N116 1000000 ADB2 p2_19 300 N 
2378.0000 M80 81176 p1_7 ADB2 300 N 
2383.9267 N117 1000000 ADB2 p1_14 300 N 
2395.0819 N118 1000000 ADB2 p2_21 300 N 
2401.2273 N119 1000000 ADB2 p1_13 300 N 
2409.6846 N120 1000000 ADB2 p1_9 300 N 
2411.0000 M81 137978 p1_9 ADB2 300 N 
2431.2626 N121 1000000 ADB2 p1_7 300 N 
2440.4137 N122 1000000 ADB2 p2_17 300 N 
2443.0000 M82 61477 p1_9 ADB2 300 N 
2449.1039 N123 1000000 ADB2 p1_6 300 N 
2470.0000 M83 73765 p2_19 ADB2 300 N 
2480.9755 N124 1000000 ADB2 p2_19 300 N 
2498.0000 M84 127575 p2_19 ADB2 300 N 
2501.0739 N125 1000000 ADB2 p1_12 300 N 
2530.0000 M85 100749 p2_17 ADB2 300 N 
2561.0000 M86 135022 p2_22 ADB2 300 N 
2568.8693 N126 1000000 ADB2 p1_14 300 N 
2577.7357 N127 1000000 ADB2 p1_13 300 N 
2589.0000 M87 120121 p1_5 ADB2 300 N 
2605.3042 N128 1000000 ADB2 p2_18 300 N 
2613.6310 N129 1000000 ADB2 p1_6 300 N 
2619.0000 M88 57417 p2_15 ADB2 300 N 
2649.0000 M89 52436 p1_11 ADB2 300 N 
2660.1862 N130 1000000 ADB2 p1_14 300 N 
2674.0000 M90 88494 p1_8 ADB2 300 N 
2704.0000 M91 73996 p2_17 ADB2 300 N 
2734.0000 M92 87938 p1_14 ADB2 300 N 
2768.0000 M93 69389 p1_13 ADB2 300 N 
2794.0000 M94 143756 p2_20 ADB2 300 N 
2807.0924 N131 1000000 ADB2 p1_7 300 N 
2807.5672 N132 1000000 ADB2 p2_21 300 N 
2823.0000 M95 145577 p2_22 ADB2 300 N 
2853.0000 M96 116374 p2_18 ADB2 300 N 
2870.4141 N133 1000000 ADB2 p1_9 300 N 
2880.0000 M97 76435 p1_8 ADB2 300 N 
2909.0000 M98 121931 p2_21 ADB2 300 N 
