# time  ID  size  fromHost  toHost  TTL  isResponse
365.2303 M162 2103880 dtn2_7 ADB2 140 N 
365.3171 M163 2656381 dtn2_8 ADB2 140 N 
367.6323 M164 2114169 dtn2_7 ADB2 140 N 
374.1333 N7 1000000 ADB2 dtn2_8 140 N 
375.5426 M165 2172636 dtn2_8 ADB2 140 N 
375.7946 M166 1249177 dtn1_6 ADB2 140 N 
377.5130 M167 1217958 dtn1_6 ADB2 140 N 
377.7107 M168 2012443 dtn2_7 ADB2 140 N 
380.2026 M169 1405196 dtn2_8 ADB2 140 N 
387.1491 M170 1337760 dtn1_6 ADB2 140 N 
390.7230 M171 2883370 dtn2_7 ADB2 140 N 
394.7202 M172 2860878 dtn2_8 ADB2 140 N 
396.1544 M173 2838599 dtn1_6 ADB2 140 N 
397.0969 M174 2307078 dtn1_6 ADB2 140 N 
397.1393 M175 2516636 dtn2_7 ADB2 140 N 
397.3029 M176 1265115 dtn2_8 ADB2 140 N 
398.4230 M177 1623359 dtn1_6 ADB2 140 N 
402.0001 M178 1293385 dtn2_8 ADB2 140 N 
404.4693 M179 2934226 dtn1_6 ADB2 140 N 
407.0607 M180 2287682 dtn2_8 ADB2 140 N 
409.0802 M181 1857726 dtn2_7 ADB2 140 N 
411.1753 M182 1522000 dtn2_7 ADB2 140 N 
413.3686 M183 1650680 dtn1_6 ADB2 140 N 
417.7865 M184 1939621 dtn2_8 ADB2 140 N 
418.1225 M185 2204869 dtn2_8 ADB2 140 N 
420.3016 M186 2908064 dtn2_7 ADB2 140 N 
421.0377 M187 1243196 dtn2_8 ADB2 140 N 
421.3981 N8 1000000 ADB2 dtn2_8 140 N 
425.8884 M188 1027788 dtn2_8 ADB2 140 N 
427.0610 M189 2977224 dtn2_8 ADB2 140 N 
427.5839 M190 1878324 dtn2_8 ADB2 140 N 
428.3928 M191 1715610 dtn2_8 ADB2 140 N 
431.3283 M192 1663690 dtn2_8 ADB2 140 N 
435.4264 M193 2653328 dtn2_7 ADB2 140 N 
435.6388 M194 2549490 dtn1_6 ADB2 140 N 
