# time  ID  size  fromHost  toHost  TTL  isResponse
426.3117 M206 2757661 p2_26 ADB3 300 N 
428.4290 M207 2051649 p3_37 ADB3 300 N 
428.5074 M208 2788589 p2_22 ADB3 300 N 
429.8096 M209 2675404 p1_14 ADB3 300 N 
430.2308 M210 2514049 p2_25 ADB3 300 N 
434.6097 M211 1157732 p3_33 ADB3 300 N 
437.1683 M212 1165139 p1_18 ADB3 300 N 
438.9709 M213 2082907 p2_28 ADB3 300 N 
439.9013 M214 2295734 p1_11 ADB3 300 N 
446.3272 M215 2568421 p1_18 ADB3 300 N 
450.8990 M216 2739285 p3_29 ADB3 300 N 
453.7498 M217 2431603 p2_24 ADB3 300 N 
455.8350 M218 1755220 p3_36 ADB3 300 N 
459.6455 M219 2525429 p3_29 ADB3 300 N 
460.0571 M220 2026052 p1_13 ADB3 300 N 
471.9700 M221 2152679 p2_25 ADB3 300 N 
473.5630 M222 2766358 p2_28 ADB3 300 N 
474.2008 M223 1558919 p3_35 ADB3 300 N 
474.2433 M224 1854957 p2_26 ADB3 300 N 
476.8311 M225 1398346 p2_23 ADB3 300 N 
476.9838 M226 1110098 p1_14 ADB3 300 N 
480.5023 M227 2167481 p1_13 ADB3 300 N 
480.5541 M228 1282141 p1_9 ADB3 300 N 
480.8596 M229 2015476 p1_14 ADB3 300 N 
481.3463 M230 1426578 p2_24 ADB3 300 N 
482.1107 M231 1164855 p3_35 ADB3 300 N 
491.0631 M232 1541014 p3_31 ADB3 300 N 
494.5834 M233 2318459 p2_25 ADB3 300 N 
495.3473 M234 1107365 p2_20 ADB3 300 N 
495.8921 M235 2079901 p3_29 ADB3 300 N 
496.0410 M236 2307386 p1_16 ADB3 300 N 
496.2496 M237 2488860 p3_31 ADB3 300 N 
497.1629 M238 1398394 p1_17 ADB3 300 N 
499.2239 M239 1767122 p3_31 ADB3 300 N 
499.4007 M240 1004630 p3_33 ADB3 300 N 
499.7973 M241 2535256 p2_19 ADB3 300 N 
500.1690 M242 2640710 p1_18 ADB3 300 N 
500.5296 M243 2206440 p1_13 ADB3 300 N 
505.4218 M244 1919148 p3_36 ADB3 300 N 
505.4494 M245 1340578 p1_16 ADB3 300 N 
506.9147 M246 2873085 p3_29 ADB3 300 N 
507.1295 M247 1002540 p2_24 ADB3 300 N 
508.0994 M248 2048840 p2_21 ADB3 300 N 
509.3990 M249 1217614 p1_16 ADB3 300 N 
512.2863 M250 2686066 p2_23 ADB3 300 N 
512.7917 M251 1375548 p3_34 ADB3 300 N 
513.5365 M252 2139027 p3_37 ADB3 300 N 
515.8105 M253 1636985 p1_18 ADB3 300 N 
517.9427 M254 2609399 p3_31 ADB3 300 N 
518.2170 M255 1047102 p1_12 ADB3 300 N 
518.8090 M256 2781823 p2_24 ADB3 300 N 
522.2095 M257 1008399 p1_15 ADB3 300 N 
525.3877 M258 2399386 p2_25 ADB3 300 N 
526.5306 M259 2875828 p3_30 ADB3 300 N 
526.5960 M260 2937431 p2_20 ADB3 300 N 
528.9848 M261 2149359 p1_18 ADB3 300 N 
530.6117 M262 2418565 p3_36 ADB3 300 N 
531.5467 M263 2736627 p1_10 ADB3 300 N 
533.6628 M264 2072874 p3_33 ADB3 300 N 
533.8612 M265 1961777 p3_31 ADB3 300 N 
533.8785 M266 2904826 p2_27 ADB3 300 N 
538.8164 M267 1378362 p3_32 ADB3 300 N 
538.9475 M268 2213084 p1_14 ADB3 300 N 
544.1612 M269 1173392 p1_18 ADB3 300 N 
544.7848 M270 2344048 p1_16 ADB3 300 N 
546.0336 M271 2299751 p2_26 ADB3 300 N 
547.1601 M272 1743442 p3_32 ADB3 300 N 
550.2554 M273 1344875 p3_30 ADB3 300 N 
550.9297 M274 2537942 p1_12 ADB3 300 N 
552.0219 M275 1584973 p1_18 ADB3 300 N 
552.7645 M276 2750272 p3_37 ADB3 300 N 
557.2332 M277 1097966 p3_33 ADB3 300 N 
557.4208 M278 2603370 p3_32 ADB3 300 N 
560.3464 M279 2214314 p2_21 ADB3 300 N 
560.9148 M280 1610776 p3_31 ADB3 300 N 
561.8856 M281 2692694 p3_32 ADB3 300 N 
569.1069 M282 1840957 p3_31 ADB3 300 N 
570.0180 M283 2197308 p3_35 ADB3 300 N 
570.2404 M284 2507801 p3_35 ADB3 300 N 
573.5101 M285 1555418 p1_14 ADB3 300 N 
574.4656 M286 1678285 p1_11 ADB3 300 N 
586.8184 M287 2282491 p1_11 ADB3 300 N 
588.1183 M288 2677498 p2_19 ADB3 300 N 
590.0581 M289 1409966 p3_35 ADB3 300 N 
597.6068 M290 1655368 p3_29 ADB3 300 N 
597.9202 M291 2473449 p2_28 ADB3 300 N 
598.5418 M292 1617082 p1_9 ADB3 300 N 
600.9135 M293 1242665 p2_27 ADB3 300 N 
