# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
4138.0000 M104 113634 5 1044.0000 p1_21 ADB6 282 N p1_21->p1_18->ADB5->WIFI_11->WIFI_12->ADB6
4276.7000 M136 133655 1 248.7000 p2_28 ADB6 295 N p2_28->ADB6
4331.7000 M122 125987 6 730.7000 p4_52 ADB6 287 N p4_52->ADB8->CD10->ADB7->WIFI_13->WIFI_12->ADB6
4331.8000 M64 96950 8 2423.8000 p5_55 ADB6 259 N p5_55->p5_58->p5_62->ADB9->CD10->ADB7->WIFI_13->WIFI_12->ADB6
4331.8663 M18 90222 6 3808.8663 p4_53 ADB6 236 N p4_53->ADB8->CD10->ADB7->WIFI_13->WIFI_12->ADB6
4332.0000 M71 140133 7 2215.0000 p4_52 ADB6 263 N p4_52->p4_47->ADB8->CD10->ADB7->WIFI_13->WIFI_12->ADB6
4332.1000 M97 76435 6 1452.1000 p5_60 ADB6 275 N p5_60->ADB9->CD10->ADB7->WIFI_13->WIFI_12->ADB6
4332.2000 M35 148232 9 3297.2000 p4_52 ADB6 245 N p4_52->p4_44->p4_50->p4_53->ADB8->CD10->ADB7->WIFI_13->WIFI_12->ADB6
4332.3000 M57 51479 7 2625.3000 p4_44 ADB6 256 N p4_44->p4_51->ADB8->CD10->ADB7->WIFI_13->WIFI_12->ADB6
4332.4000 M87 120121 6 1743.4000 p4_53 ADB6 270 N p4_53->ADB8->CD10->ADB7->WIFI_13->WIFI_12->ADB6
4332.5000 M44 118074 7 3019.5000 p4_51 ADB6 249 N p4_51->p4_47->ADB8->CD10->ADB7->WIFI_13->WIFI_12->ADB6
4332.6000 M116 118464 6 897.6000 p5_56 ADB6 285 N p5_56->ADB9->CD10->ADB7->WIFI_13->WIFI_12->ADB6
4332.7000 M105 97816 6 1211.7000 p4_47 ADB6 279 N p4_47->ADB8->CD10->ADB7->WIFI_13->WIFI_12->ADB6
4332.8000 M83 73765 7 1862.8000 p5_59 ADB6 268 N p5_59->p5_60->ADB9->CD10->ADB7->WIFI_13->WIFI_12->ADB6
4332.9000 M29 89593 9 3480.9000 p4_52 ADB6 241 N p4_52->p4_44->p4_50->p4_53->ADB8->CD10->ADB7->WIFI_13->WIFI_12->ADB6
4333.0000 M73 117791 7 2160.0000 p4_51 ADB6 264 N p4_51->p4_47->ADB8->CD10->ADB7->WIFI_13->WIFI_12->ADB6
4333.1000 M113 132169 6 981.1000 p5_56 ADB6 283 N p5_56->ADB9->CD10->ADB7->WIFI_13->WIFI_12->ADB6
4333.2000 M17 140517 9 3835.2000 p4_45 ADB6 236 N p4_45->p4_44->p4_50->p4_53->ADB8->CD10->ADB7->WIFI_13->WIFI_12->ADB6
4333.3000 M70 125299 8 2245.3000 p5_54 ADB6 262 N p5_54->p5_57->p5_60->ADB9->CD10->ADB7->WIFI_13->WIFI_12->ADB6
4333.4000 M69 99614 7 2279.4000 p5_58 ADB6 262 N p5_58->p5_62->ADB9->CD10->ADB7->WIFI_13->WIFI_12->ADB6
