# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
2019.6000 M701 1465714 1 562.1507 p1_15 ADB3 290 N p1_15->ADB3
2034.2000 M533 1480934 1 930.8909 p1_11 ADB3 284 N p1_11->ADB3
2044.0000 M684 1428087 1 615.4870 p1_14 ADB3 289 N p1_14->ADB3
2051.9000 M535 1973499 2 944.8684 p1_10 ADB3 284 N p1_10->p1_14->ADB3
2061.8000 M832 2466831 1 332.5485 p1_14 ADB3 294 N p1_14->ADB3
2077.2000 M934 2382688 1 165.5565 p1_17 ADB3 297 N p1_17->ADB3
2086.6000 M883 2336491 1 268.5722 p1_17 ADB3 295 N p1_17->ADB3
2090.9000 M475 1055112 1 1110.3958 p1_17 ADB3 281 N p1_17->ADB3
2101.6812 M714 2252332 2 622.0736 p1_14 ADB3 289 N p1_14->p1_9->ADB3
2108.7000 M624 1748951 2 793.4653 p1_14 ADB3 286 N p1_14->p1_9->ADB3
2114.8000 M548 1524737 1 983.8360 p1_9 ADB3 283 N p1_9->ADB3
2122.5000 M1014 1922754 1 49.8849 p1_9 ADB3 299 N p1_9->ADB3
2133.3000 M987 2017962 1 112.3755 p1_12 ADB3 298 N p1_12->ADB3
2139.8000 M716 1611266 2 657.2086 p1_11 ADB3 289 N p1_11->p1_12->ADB3
2155.9000 M872 1895029 1 352.1960 p1_17 ADB3 294 N p1_17->ADB3
2161.8000 M564 1463729 1 991.2001 p1_17 ADB3 283 N p1_17->ADB3
2166.7000 M823 1214504 1 449.8068 p1_17 ADB3 292 N p1_17->ADB3
2178.6000 M887 2958699 1 354.6042 p1_17 ADB3 294 N p1_17->ADB3
2186.2000 M933 1668482 2 278.1134 p1_11 ADB3 295 N p1_11->p1_16->ADB3
2199.3000 M499 2568051 2 1166.6193 p1_10 ADB3 280 N p1_10->p1_11->ADB3
2207.7000 M1008 2092222 1 150.5143 p1_11 ADB3 297 N p1_11->ADB3
2215.1000 M1059 1279569 1 38.7116 p1_15 ADB3 299 N p1_15->ADB3
2224.5000 M908 2330266 1 358.3434 p1_15 ADB3 294 N p1_15->ADB3
2243.8000 M1075 1543643 1 37.3932 p1_12 ADB3 299 N p1_12->ADB3
2252.3000 M993 2112336 1 223.0080 p1_12 ADB3 296 N p1_12->ADB3
2258.8000 M1049 1616689 1 103.0778 p1_12 ADB3 298 N p1_12->ADB3
2271.5000 M839 1413418 1 528.6790 p1_16 ADB3 291 N p1_16->ADB3
2282.6000 M843 2769422 1 528.6435 p1_16 ADB3 291 N p1_16->ADB3
2289.1000 M632 1500111 1 959.1282 p1_11 ADB3 284 N p1_11->ADB3
2299.2000 M891 2516628 1 471.0558 p1_11 ADB3 292 N p1_11->ADB3
